episode,reward_mean,reward_std,steps_mean
246,0.258333,0.925026,8.500000
247,0.266667,0.927277,7.666667
248,0.515333,0.776092,9.466667
249,0.181333,0.931693,9.533333
250,0.246000,0.900484,9.733333
251,0.450000,0.812408,9.333333
252,0.184333,0.940828,9.233333
253,0.371667,0.860144,10.500000
254,0.428667,0.814934,11.466667
255,0.454000,0.823519,8.933333
256,0.386667,0.854519,9.000000
257,0.259333,0.915653,8.400000
258,0.188000,0.934318,8.866667
259,0.261667,0.914797,8.166667
260,0.384000,0.854446,9.266667
261,0.115333,0.946033,9.466667
262,0.067000,0.963162,7.633333
263,0.244000,0.913519,9.933333
264,0.392667,0.861320,8.400000
265,0.267000,0.913244,7.633333
266,0.586000,0.728819,9.066667
267,0.048333,0.963933,9.500000
268,-0.062000,0.971896,7.200000
269,0.392000,0.853391,8.466667
270,0.189667,0.936762,8.700000
271,0.258333,0.934177,8.500000
272,0.259667,0.913676,8.366667
273,0.138667,0.955342,7.133333
274,0.640333,0.661395,10.300000
275,0.522667,0.784975,8.733333
276,0.586667,0.720090,9.000000
277,0.124333,0.947079,8.566667
278,0.514667,0.777945,9.533333
279,0.387000,0.861163,8.966667
280,0.195333,0.928704,8.133333
281,0.198000,0.927306,7.866667
282,0.197333,0.932259,7.933333
283,0.448667,0.823779,9.466667
284,0.323667,0.902288,8.633333
285,0.135000,0.954372,7.500000
286,0.329000,0.891786,8.100000
287,0.201333,0.946336,7.533333
288,0.654667,0.664544,8.866667
289,0.322000,0.888052,8.800000
290,0.382333,0.857818,9.433333
291,0.325000,0.900562,8.500000
292,0.119667,0.954406,9.033333
293,0.522667,0.778618,8.733333
294,0.129667,0.961892,8.033333
295,0.332667,0.904054,7.733333
296,0.328333,0.897727,8.166667
297,0.590000,0.735328,8.666667
298,0.530333,0.777927,7.966667
299,0.583667,0.730992,9.300000
300,0.578333,0.724592,9.833333
301,0.788667,0.493131,8.800000
302,0.321667,0.890794,8.833333
303,0.516667,0.775725,9.333333
304,0.527333,0.783611,8.266667
305,0.457667,0.819531,8.566667
306,0.197000,0.946520,7.966667
307,0.327000,0.898407,8.300000
308,0.322667,0.903888,8.733333
309,0.337000,0.891591,7.300000
310,0.326333,0.891244,8.366667
311,0.654333,0.669262,8.900000
312,0.534000,0.777220,7.600000
313,0.330667,0.902119,7.933333
314,0.735333,0.584333,7.466667
315,0.463667,0.825225,7.966667
316,0.708667,0.582201,10.133333
317,0.463667,0.827855,7.966667
318,0.533000,0.787550,7.700000
319,0.654000,0.663197,8.933333
320,0.527000,0.778084,8.300000
321,0.650000,0.663973,9.333333
322,0.715333,0.604024,9.466667
323,0.270333,0.913139,7.300000
324,0.531333,0.783653,7.866667
325,0.598667,0.734877,7.800000
326,0.534000,0.781454,7.600000
327,0.665667,0.665416,7.766667
328,0.516333,0.782000,9.366667
329,0.531667,0.781985,7.833333
330,0.731333,0.592895,7.866667
331,0.536000,0.787463,7.400000
332,0.733333,0.591621,7.666667
333,0.262333,0.919916,8.100000
334,0.596667,0.725458,8.000000
335,0.272333,0.923384,7.100000
336,0.336333,0.905772,7.366667
337,0.404667,0.864649,7.200000
338,0.457667,0.820104,8.566667
339,0.403333,0.861635,7.333333
340,0.528000,0.779814,8.200000
341,0.603000,0.732635,7.366667
342,0.660000,0.680852,8.333333
343,0.469667,0.826174,7.366667
344,0.336333,0.888326,7.366667
345,0.468333,0.830293,7.500000
346,0.405667,0.869853,7.100000
347,0.589000,0.725325,8.766667
348,0.723667,0.581203,8.633333
349,0.606333,0.731147,7.033333
350,0.596667,0.732654,8.000000
351,0.531333,0.793846,7.866667
352,0.597000,0.731798,7.966667
353,0.400000,0.863643,7.666667
354,0.476667,0.829081,6.666667
355,0.536333,0.784366,7.366667
356,0.604000,0.723826,7.266667
357,0.541333,0.785802,6.866667
358,0.801667,0.484803,7.500000
359,0.800000,0.484348,7.666667
360,0.801667,0.491115,7.500000
361,0.604333,0.727538,7.233333
362,0.666000,0.662669,7.733333
363,0.472000,0.830331,7.133333
364,0.659000,0.661107,8.433333
365,0.737333,0.584881,7.266667
366,0.731333,0.589829,7.866667
367,0.739000,0.588837,7.100000
368,0.601667,0.731774,7.500000
369,0.673000,0.665303,7.033333
370,0.730333,0.583858,7.966667
371,0.410667,0.861363,6.600000
372,0.661667,0.675165,8.166667
373,0.536000,0.783308,7.400000
374,0.798667,0.493070,7.800000
375,0.672333,0.664047,7.100000
376,0.799667,0.492033,7.700000
377,0.538000,0.785924,7.200000
378,0.868000,0.350936,7.533333
379,0.735667,0.584338,7.433333
380,0.734333,0.591708,7.566667
381,0.535333,0.789746,7.466667
382,0.732000,0.583218,7.800000
383,0.734000,0.592642,7.600000
384,0.794000,0.482574,8.266667
385,0.802000,0.488661,7.466667
386,0.803000,0.492823,7.366667
387,0.799000,0.489403,7.766667
388,0.414667,0.871370,6.200000
389,0.666333,0.662704,7.700000
390,0.732000,0.588849,7.800000
391,0.672667,0.667148,7.066667
392,0.414000,0.864101,6.266667
393,0.477000,0.826798,6.633333
394,0.600667,0.727969,7.600000
395,0.678667,0.673254,6.466667
396,0.609333,0.732384,6.733333
397,0.798333,0.485174,7.833333
398,0.676667,0.664652,6.666667
399,0.733667,0.589573,7.633333
400,0.609000,0.733200,6.766667
401,0.663667,0.661853,7.966667
402,0.735000,0.582052,7.500000
403,0.735333,0.587706,7.466667
404,0.802333,0.484731,7.433333
405,0.739000,0.583223,7.100000
406,0.670000,0.667138,7.333333
407,0.416667,0.864944,6.000000
408,0.800667,0.489666,7.600000
409,0.737667,0.593895,7.233333
410,0.671000,0.661586,7.233333
411,0.866000,0.350776,7.733333
412,0.736667,0.586881,7.333333
413,0.674333,0.660932,6.900000
414,0.674000,0.664683,6.933333
415,0.734667,0.586377,7.533333
416,0.805667,0.496244,7.100000
417,0.672333,0.668315,7.100000
418,0.548000,0.784102,6.200000
419,0.870667,0.349494,7.266667
420,0.872000,0.349956,7.133333
421,0.805667,0.490895,7.100000
422,0.610333,0.733773,6.633333
423,0.736667,0.591587,7.333333
424,0.740667,0.587236,6.933333
425,0.675667,0.671162,6.766667
426,0.808000,0.488729,6.866667
427,0.809667,0.490500,6.700000
428,0.484333,0.832329,5.900000
429,0.871333,0.349731,7.200000
430,0.876667,0.350717,6.666667
431,0.865667,0.348785,7.766667
432,0.811000,0.488142,6.566667
433,0.749000,0.590866,6.100000
434,0.677000,0.664806,6.633333
435,0.609000,0.727921,6.766667
436,0.746667,0.586756,6.333333
437,0.615000,0.726782,6.166667
438,0.872333,0.353522,7.100000
439,0.870667,0.355227,7.266667
440,0.678333,0.666289,6.500000
441,0.744000,0.589280,6.600000
442,0.747667,0.589297,6.233333
443,0.744000,0.590342,6.600000
444,0.811000,0.492303,6.566667
445,0.875000,0.355760,6.833333
446,0.806333,0.489615,7.033333
447,0.806000,0.488341,7.066667
448,0.877667,0.350768,6.566667
449,0.743667,0.584839,6.633333
450,0.943000,0.010376,6.700000
451,0.746000,0.585466,6.400000
452,0.812333,0.493894,6.433333
453,0.810667,0.502706,6.600000
454,0.812000,0.489765,6.466667
455,0.814333,0.490311,6.233333
456,0.872667,0.350037,7.066667
457,0.810667,0.489407,6.600000
458,0.744333,0.590433,6.566667
459,0.747000,0.589085,6.300000
460,0.877667,0.350644,6.566667
461,0.811000,0.497476,6.566667
462,0.948000,0.004761,6.200000
463,0.875333,0.353975,6.800000
464,0.878667,0.354558,6.466667
465,0.944333,0.009195,6.566667
466,0.746000,0.587648,6.400000
467,0.747333,0.588081,6.266667
468,0.809333,0.493085,6.733333
469,0.944333,0.010225,6.566667
470,0.944333,0.012297,6.566667
471,0.877000,0.350563,6.633333
472,0.746333,0.591250,6.366667
473,0.877000,0.350610,6.633333
474,0.882000,0.351429,6.133333
475,0.946000,0.008000,6.400000
476,0.814667,0.487741,6.200000
477,0.943667,0.012243,6.633333
478,0.944667,0.010242,6.533333
479,0.945667,0.007157,6.433333
480,0.945000,0.008466,6.500000
481,0.352667,0.898777,5.733333
482,0.878333,0.350819,6.500000
483,0.749000,0.588633,6.100000
484,0.944667,0.008459,6.533333
485,0.880333,0.354828,6.300000
486,0.877000,0.357996,6.633333
487,0.880000,0.351160,6.333333
488,0.816667,0.488244,6.000000
489,0.881667,0.351341,6.166667
490,0.881000,0.351277,6.233333
491,0.814667,0.490413,6.200000
492,0.882667,0.351510,6.066667
493,0.948333,0.005217,6.166667
494,0.881667,0.351341,6.166667
495,0.944333,0.009551,6.566667
496,0.949000,0.003958,6.100000
497,0.945333,0.009568,6.466667
498,0.881333,0.355028,6.200000
499,0.948333,0.005217,6.166667
500,0.882333,0.351442,6.100000
