seed,iteration,total_timesteps,completed_episodes,mean_episode_reward,mean_episode_length,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,learning_rate
42,1,2048,91,21.35164835164835,21.35164835164835,-0.02365587034728378,51.37852491438389,0.6846821391955018,0.008713315520435572,0.144775390625,0.004752082278654202,0.0003
42,2,4096,64,33.28125,33.28125,-0.019561209510720802,41.82212730050087,0.6573100537061691,0.008076207483827601,0.095458984375,0.06913563790112287,0.00029249999999999995
42,3,6144,42,49.166666666666664,49.166666666666664,-0.022065557452151552,57.38216896057129,0.6249670347198844,0.006160369263670873,0.085546875,0.1710322352369068,0.000285
42,4,8192,29,69.37931034482759,69.37931034482759,-0.0168142879701918,64.05948468446732,0.5946246162056923,0.0049179764289874585,0.06474609375,0.3155763627711725,0.00027749999999999997
42,5,10240,15,133.4,133.4,-0.015114751318469644,64.13884399533272,0.5708724148571491,0.004286297559156082,0.05234375,0.46710286605333373,0.00027
42,6,12288,10,189.4,189.4,-0.007144654015428386,39.16576194465161,0.5738925145938992,0.005465008009923622,0.073583984375,0.8047516040133972,0.0002625
42,7,14336,10,224.3,224.3,-0.004438485921127722,31.72621780782938,0.5783488109707833,0.004415751789929345,0.051611328125,0.8277139232484064,0.00025499999999999996
42,8,16384,8,230.375,230.375,-0.008226086341892369,48.039009276032445,0.5509515017271042,0.0048991095929523,0.0494140625,0.7476296829541327,0.00024749999999999994
42,9,18432,7,327.0,327.0,-0.01033362684538588,21.183677230775356,0.5677776301279664,0.006333169831486884,0.07958984375,0.9387440169272134,0.00023999999999999998
42,10,20480,5,345.6,345.6,-0.0050696053222054616,16.123698828369378,0.5590327126905322,0.0034649284192710184,0.02841796875,0.9586809085943047,0.00023249999999999999
42,11,22528,4,482.5,482.5,-0.0047393442742759365,40.39978370964527,0.5301590107381344,0.00442089198040776,0.041552734375,0.3626793312848977,0.000225
42,12,24576,4,500.0,500.0,-0.0033247710118303074,8.828138549812138,0.5287844678387046,0.0030888431589119135,0.0263671875,0.9729960320513058,0.00021749999999999997
42,13,26624,6,403.5,403.5,-0.004721651384897996,47.21542055532336,0.5000359177589416,0.0015857433594646865,0.007568359375,0.008361177110470464,0.00020999999999999998
42,14,28672,4,500.0,500.0,-0.0005270404100883753,3.8351131611038,0.5350833341479302,0.0008860903632012196,0.008349609375,-0.10475598484470572,0.0002025
42,15,30720,4,500.0,500.0,-0.0006477942137280479,2.6892433232744226,0.5380096561275423,0.0014013065898325293,0.012109375,0.09491659781054795,0.000195
42,16,32768,5,405.8,405.8,-0.0007456858991645276,26.942033293098213,0.5522816164419055,0.00036572428070940076,0.0,0.8480919981354821,0.00018749999999999998
42,17,34816,4,492.5,492.5,-0.002289643338008318,2.8759373172186313,0.5362864186987281,0.0009323507736553438,0.007373046875,0.948451150738043,0.00017999999999999998
42,18,36864,4,500.0,500.0,-0.00428223586641252,0.8375656782183796,0.523503132071346,0.004626587784150616,0.0685546875,0.10612858737988706,0.00017249999999999996
42,19,38912,4,500.0,500.0,-0.00881675208802335,0.8010510725202039,0.5251588831655681,0.0036433813831536098,0.03359375,0.7923065416364863,0.000165
42,20,40960,4,500.0,500.0,-0.013702162117988336,0.40191778747248463,0.5144648326560854,0.006795238968334161,0.109716796875,0.859760275849405,0.00015749999999999998
42,21,43008,5,500.0,500.0,-0.0025428975066461136,0.2751229260087712,0.4986323397606611,0.0016554895890294574,0.016552734375,0.33183245379900517,0.00015
42,22,45056,4,500.0,500.0,-0.0010965419729473068,0.14378201344079572,0.48076101709157226,0.0010686589608667417,0.007861328125,0.2648926559080651,0.0001425
42,23,47104,4,500.0,500.0,-0.004496308392845094,0.0905958390692831,0.47638127142563463,0.00381880867498694,0.0384765625,0.2247122948173288,0.00013499999999999997
42,24,49152,4,500.0,500.0,-0.014402413560310379,0.07930066068220185,0.48638878474012015,0.006286712222208735,0.094482421875,0.9405932051811878,0.0001275
42,25,51200,4,500.0,500.0,-0.0014822538738371803,0.036715053782609176,0.476354840118438,0.0029001445029280147,0.020849609375,0.6076511495616927,0.00011999999999999999
42,26,53248,4,500.0,500.0,-0.0008015179832000285,0.02210722236359288,0.4740357012487948,0.0010915707214735448,0.00400390625,0.09959443130903711,0.0001125
42,27,55296,4,500.0,500.0,-0.0022058367350837214,0.014486833382943588,0.4632289554923773,0.0032493063612491825,0.021728515625,0.44797459340676193,0.00010499999999999999
